Alert_ID,Snapshot_Date,Week,Week_Index,SKU,Site,SKU Desc,Site Desc,Site Type,Category,Start Inventory,Total Forecast/Order,Start Backorder,Total Demand,Planned Prod,Confirm Prod,Total Supply,End. Backorder,End. Inventory,Days of Coverage,Lead Time,Target Safety Stock (in Days),Target Safety Stock (in Units),Cycle Stock (in Days),Cycle Stock (in Units),Target Max Stock (in Days),Target Max Stock (in Units),MSTN Thresold,ESTN Thresold,MSTN%,ESTN%,Shortage,Excess,Business Unit,Alert Type,Priority,Alert,SKU_Category,W1_Priority_Flag,W2_Shortage_Excess_Qty,W3_Days_to_Alert,W4_SKU_Importance,Priority_Score,RCA_Summary,Agentic_RCA
BD-20260331-00001,2026-03-31,2026-02-08,1,SKU_0001,DC_01,Medical Device for SKU_0001,Chicago Distribution Center,DC,Medical Devices & Diagnostics,182,44,0,44,0,0,0,0,138,22.0,4,28,152,28,152,101,546,152,546,90,0,14,0,MDS,Low MSTN,P2,At-Risk Stockout,C,67,9,100,33,53,Opening Stock (182) + Zero Inbound Supply cannot meet Demand (44). Week 1 within 4-week lead time.,"Opening inventory of 182 and supply of 0 are sufficient to cover the demand of 44. However, the projected closing inventory of 138 falls 14 units below the target safety stock requirement of 152, compromising the critical service level buffer."
BD-20260331-00002,2026-03-31,2026-02-15,2,SKU_0001,DC_01,Medical Device for SKU_0001,Chicago Distribution Center,DC,Medical Devices & Diagnostics,138,26,0,26,0,0,0,0,112,30.2,4,28,152,28,152,101,546,152,546,73,0,40,0,MDS,High MSTN,P1,Critical Stockout,C,100,26,50,33,61,Opening Stock (138) + Zero Inbound Supply cannot meet Demand (26). Week 2 within 4-week lead time.,"Opening inventory of 138 and supply of 0 are sufficient to cover the demand of 26. However, the projected closing inventory of 112 falls 40 units below the target safety stock requirement of 152, compromising the critical service level buffer."
BD-20260331-00003,2026-03-31,2026-02-22,3,SKU_0001,DC_01,Medical Device for SKU_0001,Chicago Distribution Center,DC,Medical Devices & Diagnostics,112,33,0,33,0,0,0,0,79,16.8,4,28,152,28,152,101,546,152,546,51,0,73,0,MDS,High MSTN,P1,Critical Stockout,C,100,48,33,33,64,Opening Stock (112) + Zero Inbound Supply cannot meet Demand (33). Week 3 within 4-week lead time.,"Opening inventory of 112 and supply of 0 are sufficient to cover the demand of 33. However, the projected closing inventory of 79 falls 73 units below the target safety stock requirement of 152, compromising the critical service level buffer."
BD-20260331-00004,2026-03-31,2026-03-01,4,SKU_0001,DC_01,Medical Device for SKU_0001,Chicago Distribution Center,DC,Medical Devices & Diagnostics,79,42,0,42,0,91,91,0,128,21.3,4,28,152,28,152,101,546,152,546,84,0,24,0,MDS,Medium MSTN,P2,At-Risk Stockout,C,67,15,25,33,40,Low Opening Stock (79 vs SS 152) + Supply (91) cannot meet Demand (42). Week 4 within 4-week lead time.,"Opening inventory of 79 and supply of 91 are sufficient to cover the demand of 42. However, the projected closing inventory of 128 falls 24 units below the target safety stock requirement of 152, compromising the critical service level buffer."
,2026-03-31,2026-03-08,5,SKU_0001,DC_01,Medical Device for SKU_0001,Chicago Distribution Center,DC,Medical Devices & Diagnostics,128,33,0,33,0,96,96,0,191,40.5,4,28,152,28,152,101,546,152,546,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-03-15,6,SKU_0001,DC_01,Medical Device for SKU_0001,Chicago Distribution Center,DC,Medical Devices & Diagnostics,191,45,0,45,75,0,75,0,221,34.4,4,28,152,28,152,101,546,152,546,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-03-22,7,SKU_0001,DC_01,Medical Device for SKU_0001,Chicago Distribution Center,DC,Medical Devices & Diagnostics,221,44,0,44,0,231,231,0,408,64.9,4,28,152,28,152,101,546,152,546,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-03-29,8,SKU_0001,DC_01,Medical Device for SKU_0001,Chicago Distribution Center,DC,Medical Devices & Diagnostics,408,28,0,28,111,0,111,0,491,122.8,4,28,152,28,152,101,546,152,546,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-05,9,SKU_0001,DC_01,Medical Device for SKU_0001,Chicago Distribution Center,DC,Medical Devices & Diagnostics,491,39,0,39,52,0,52,0,504,90.5,4,28,152,28,152,101,546,152,546,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
,2026-03-31,2026-04-12,10,SKU_0001,DC_01,Medical Device for SKU_0001,Chicago Distribution Center,DC,Medical Devices & Diagnostics,504,44,0,44,0,75,75,0,535,85.1,4,28,152,28,152,101,546,152,546,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,,
