Alert_ID,Snapshot_Date,Week,Week_Index,SKU,Site ID,Site,Site Type,Factory ID,DC_IDS,Common id,Location,Region,Latitude,Longitude,Category,Unit Price,Out of stock Value($),Excess and over($),Start Inventory,Total Forecast/Order,Start Backorder,Total Demand,Planned Prod,Confirm Prod,Total Supply,End. Backorder,End. Inventory,Days of Coverage,Lead Time,Target Safety Stock (in Days),Target Safety Stock (in Units),Cycle Stock (in Days),Cycle Stock (in Units),Target Max Stock (in Days),Target Max Stock (in Units),MSTN Thresold,ESTN Thresold,MSTN%,ESTN%,Shortage,Excess,Business Unit,Alert Type,Priority,Alert,SKU_Category,W1_Priority_Flag,W2_Shortage_Excess_Qty,W3_Days_to_Alert,W4_SKU_Importance,Priority_Score,Agentic_RCA
,2026-04-17,2026-02-08,1,SKU_0001,DC1,DC1,DC,F1,,,New York,Northeast,40.7128,-74.006,Medical Devices & Diagnostics,28.22,0,0,316,66,0,66,146,0,146,0,396,42.0,2,28,264,14,132,59,558,264,558,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
,2026-04-17,2026-02-15,2,SKU_0001,DC1,DC1,DC,F1,,,New York,Northeast,40.7128,-74.006,Medical Devices & Diagnostics,28.22,0,0,396,47,0,47,0,105,105,0,454,67.6,2,28,264,14,132,59,558,264,558,100,0,0,0,MDS,None,None,Healthy,C,0,0,0,0,0,
BD-24536581-00001,2026-04-17,2026-02-22,3,SKU_0001,DC1,DC1,DC,F1,,,New York,Northeast,40.7128,-74.006,Medical Devices & Diagnostics,28.22,0,112,454,58,0,58,0,166,166,0,562,67.8,2,28,264,14,132,59,558,264,558,100,0,0,4,MDS,Low ESTN,P2,At-Risk Excess,C,67,0,33,66,40,"Opening inventory of 454 and supply of 166 exceed the demand of 58, resulting in a projected surplus of 562. This inventory levels violates the maximum stock threshold of 558 units by 4 units, increasing holding risk."
,2026-04-17,2026-03-01,4,SKU_0001,DC1,DC1,DC,F1,,,New York,Northeast,40.7128,-74.006,Medical Devices & Diagnostics,28.22,0,1608,562,78,0,78,131,0,131,0,615,55.2,2,28,264,14,132,59,558,264,558,100,10,0,57,MDS,None,None,Healthy,C,0,0,0,0,0,
BD-24536581-00002,2026-04-17,2026-03-08,5,SKU_0001,DC1,DC1,DC,F1,,,New York,Northeast,40.7128,-74.006,Medical Devices & Diagnostics,28.22,0,10780,615,76,0,76,0,401,401,0,940,86.6,2,28,264,14,132,59,558,264,558,100,68,0,382,MDS,High ESTN,P1,Critical Excess,C,100,68,20,66,71,"Opening inventory of 615 and supply of 401 exceed the demand of 76, resulting in a projected surplus of 940. This inventory levels violates the maximum stock threshold of 558 units by 382 units, increasing holding risk."
BD-24536581-00003,2026-04-17,2026-03-15,6,SKU_0001,DC1,DC1,DC,F1,,,New York,Northeast,40.7128,-74.006,Medical Devices & Diagnostics,28.22,0,14843,940,49,0,49,193,0,193,0,1084,154.9,2,28,264,14,132,59,558,264,558,100,94,0,526,MDS,High ESTN,P1,Critical Excess,C,100,94,16,66,78,"Opening inventory of 940 and supply of 0 exceed the demand of 49, resulting in a projected surplus of 1084. This inventory levels violates the maximum stock threshold of 558 units by 526 units, increasing holding risk."
BD-24536581-00004,2026-04-17,2026-03-22,7,SKU_0001,DC1,DC1,DC,F1,,,New York,Northeast,40.7128,-74.006,Medical Devices & Diagnostics,28.22,0,15492,1084,68,0,68,91,0,91,0,1107,114.0,2,28,264,14,132,59,558,264,558,100,98,0,549,MDS,High ESTN,P1,Critical Excess,C,100,98,14,66,79,"Opening inventory of 1084 and supply of 0 exceed the demand of 68, resulting in a projected surplus of 1107. This inventory levels violates the maximum stock threshold of 558 units by 549 units, increasing holding risk."
BD-24536581-00005,2026-04-17,2026-03-29,8,SKU_0001,DC1,DC1,DC,F1,,,New York,Northeast,40.7128,-74.006,Medical Devices & Diagnostics,28.22,0,17016,1107,77,0,77,0,131,131,0,1161,105.5,2,28,264,14,132,59,558,264,558,100,108,0,603,MDS,High ESTN,P1,Critical Excess,C,100,100,12,66,79,"Opening inventory of 1107 and supply of 131 exceed the demand of 77, resulting in a projected surplus of 1161. This inventory levels violates the maximum stock threshold of 558 units by 603 units, increasing holding risk."
BD-24536581-00006,2026-04-17,2026-04-05,9,SKU_0001,DC1,DC1,DC,F1,,,New York,Northeast,40.7128,-74.006,Medical Devices & Diagnostics,28.22,0,15718,1161,46,0,46,0,0,0,0,1115,169.7,2,28,264,14,132,59,558,264,558,100,99,0,557,MDS,High ESTN,P1,Critical Excess,C,100,99,11,66,78,"Opening inventory of 1161 and supply of 0 exceed the demand of 46, resulting in a projected surplus of 1115. This inventory levels violates the maximum stock threshold of 558 units by 557 units, increasing holding risk."
BD-24536581-00007,2026-04-17,2026-04-12,10,SKU_0001,DC1,DC1,DC,F1,,,New York,Northeast,40.7128,-74.006,Medical Devices & Diagnostics,28.22,0,25623,1115,56,0,56,0,407,407,0,1466,183.2,2,28,264,14,132,59,558,264,558,100,162,0,908,MDS,High ESTN,P1,Critical Excess,C,100,100,10,66,79,"Opening inventory of 1115 and supply of 407 exceed the demand of 56, resulting in a projected surplus of 1466. This inventory levels violates the maximum stock threshold of 558 units by 908 units, increasing holding risk."
BD-24536581-00008,2026-04-17,2026-04-19,11,SKU_0001,DC1,DC1,DC,F1,,,New York,Northeast,40.7128,-74.006,Medical Devices & Diagnostics,28.22,0,29179,1466,70,0,70,0,196,196,0,1592,159.2,2,28,264,14,132,59,558,264,558,100,185,0,1034,MDS,High ESTN,P1,Critical Excess,C,100,100,9,66,78,"Opening inventory of 1466 and supply of 196 exceed the demand of 70, resulting in a projected surplus of 1592. This inventory levels violates the maximum stock threshold of 558 units by 1034 units, increasing holding risk."
